dgrp	nber_studies	nber_phenotypes	dgrp_status	fbsn	bloomington_id
DGRP_226	1	5	unavailable		
DGRP_227	50	385	available	FBsn0000045	28156
DGRP_228	56	519	available	FBsn0000046	28157
DGRP_229	59	550	available	FBsn0000047	29653
DGRP_233	40	349	genotyped	FBsn0000048	28159
DGRP_235	53	586	available	FBsn0000049	28275
DGRP_237	55	552	genotyped	FBsn0000050	28160
DGRP_239	55	541	available	FBsn0000051	28161
DGRP_240	1	12	unavailable		
DGRP_241	1	12	unavailable		
DGRP_242	1	12	unavailable		
DGRP_243	1	12	unavailable		
DGRP_256	46	395	available	FBsn0000052	28162
DGRP_272	12	186	unavailable	FBsn0000053	28163
DGRP_280	53	493	available	FBsn0000054	28164
DGRP_283	1	5	unavailable		
DGRP_287	51	464	available	FBsn0000055	28165
DGRP_301	59	473	available	FBsn0000056	25175
DGRP_303	52	430	available	FBsn0000057	25176
DGRP_304	56	525	available	FBsn0000058	25177
DGRP_306	47	383	available	FBsn0000059	37525
DGRP_307	54	438	available	FBsn0000060	25179
DGRP_308	1	4	unavailable		
DGRP_309	54	476	available	FBsn0000061	28166
DGRP_310	55	499	available	FBsn0000062	28276
DGRP_313	59	443	available	FBsn0000063	25180
DGRP_315	56	496	available	FBsn0000064	25181
DGRP_317	51	358	available	FBsn0000065	28167
DGRP_318	55	483	available	FBsn0000066	28168
DGRP_319	30	282	available	FBsn0000067	55018
DGRP_320	48	494	available	FBsn0000068	29654
DGRP_321	53	508	available	FBsn0000069	29655
DGRP_322	1	5	unavailable		
DGRP_323	1	4	unavailable		
DGRP_324	58	497	available	FBsn0000070	25182
DGRP_325	27	236	genotyped	FBsn0000071	28170
DGRP_331	1	5	unavailable		
DGRP_332	58	540	available	FBsn0000072	28171
DGRP_335	57	482	available	FBsn0000073	25183
DGRP_336	44	414	available	FBsn0000074	28172
DGRP_338	56	484	available	FBsn0000075	28173
DGRP_339	1	12	unavailable		
DGRP_340	44	449	available	FBsn0000076	28174
DGRP_343	1	12	unavailable	FBsn0000077	
DGRP_346	1	5	unavailable		
DGRP_348	24	128	available	FBsn0000289	55019
DGRP_350	54	533	available	FBsn0000078	28176
DGRP_352	54	540	available	FBsn0000079	28177
DGRP_353	1	4	unavailable		
DGRP_354	22	119	available	FBsn0000290	55020
DGRP_355	18	118	available	FBsn0000291	55038
DGRP_356	51	416	available	FBsn0000080	28178
DGRP_357	60	506	available	FBsn0000081	25184
DGRP_358	63	558	available	FBsn0000082	25185
DGRP_359	57	491	available	FBsn0000083	28179
DGRP_360	61	590	available	FBsn0000084	25186
DGRP_361	42	333	available	FBsn0000085	28180
DGRP_362	66	554	available	FBsn0000086	25187
DGRP_365	65	550	available	FBsn0000087	25445
DGRP_367	51	537	genotyped	FBsn0000088	28181
DGRP_369	1	4	unavailable		
DGRP_370	57	524	available	FBsn0000089	28182
DGRP_371	51	502	available	FBsn0000090	28183
DGRP_373	59	541	available	FBsn0000091	28184
DGRP_374	53	558	available	FBsn0000092	28185
DGRP_375	59	506	available	FBsn0000093	25188
DGRP_377	54	525	available	FBsn0000094	28186
DGRP_378	14	119	unavailable	FBsn0000095	28187
DGRP_379	66	564	available	FBsn0000096	25189
DGRP_380	59	548	available	FBsn0000097	25190
DGRP_381	53	474	available	FBsn0000098	28188
DGRP_382	40	371	available	FBsn0000099	28189
DGRP_383	54	526	available	FBsn0000100	28190
DGRP_385	42	449	available	FBsn0000101	28191
DGRP_386	58	509	available	FBsn0000102	28192
DGRP_387	8	53	unavailable	FBsn0000103	28193
DGRP_390	24	127	available	FBsn0000292	55021
DGRP_391	59	500	available	FBsn0000104	25191
DGRP_392	54	492	available	FBsn0000105	28194
DGRP_393	5	141	unavailable	FBsn0000106	
DGRP_395	23	128	available	FBsn0000293	55022
DGRP_397	27	158	available	FBsn0000294	55023
DGRP_398	12	186	unavailable	FBsn0000107	28195
DGRP_399	64	624	available	FBsn0000108	25192
DGRP_405	51	473	available	FBsn0000109	29656
DGRP_406	47	422	available	FBsn0000110	29657
DGRP_409	50	502	available	FBsn0000111	28278
DGRP_424	1	11	unavailable		
DGRP_426	57	587	available	FBsn0000112	28196
DGRP_427	59	572	available	FBsn0000113	25193
DGRP_437	62	564	available	FBsn0000114	25194
DGRP_439	50	476	available	FBsn0000115	29658
DGRP_440	55	607	available	FBsn0000116	28197
DGRP_441	52	579	available	FBsn0000117	28198
DGRP_443	57	602	available	FBsn0000118	28199
DGRP_449	1	5	unavailable		
DGRP_461	48	350	available	FBsn0000119	28200
DGRP_468	1	6	unavailable		
DGRP_473	1	12	unavailable		
DGRP_476	7	53	unavailable	FBsn0000120	28201
DGRP_486	57	543	available	FBsn0000121	25195
DGRP_491	50	430	available	FBsn0000122	28202
DGRP_492	50	478	available	FBsn0000123	28203
DGRP_502	53	506	available	FBsn0000124	28204
DGRP_505	20	124	available	FBsn0000295	55024
DGRP_508	47	430	available	FBsn0000125	28205
DGRP_509	47	398	available	FBsn0000126	28206
DGRP_513	46	404	available	FBsn0000127	29659
DGRP_514	11	168	unavailable	FBsn0000128	
DGRP_517	55	478	available	FBsn0000129	25197
DGRP_521	1	2	unavailable		
DGRP_525	1	4	unavailable		
DGRP_528	24	129	available	FBsn0000296	55025
DGRP_530	40	367	genotyped	FBsn0000130	29660
DGRP_531	43	367	available	FBsn0000131	28207
DGRP_535	54	473	available	FBsn0000132	28208
DGRP_551	25	200	available	FBsn0000297	55026
DGRP_554	12	186	unavailable	FBsn0000133	28209
DGRP_555	60	518	available	FBsn0000134	25198
DGRP_556	3	28	unavailable	FBsn0000135	
DGRP_557	1	6	unavailable		
DGRP_559	26	203	available	FBsn0000298	55027
DGRP_563	52	495	available	FBsn0000136	28211
DGRP_565	1	4	unavailable		
DGRP_566	23	131	available	FBsn0000299	55028
DGRP_584	41	421	available	FBsn0000137	28212
DGRP_589	52	418	available	FBsn0000138	28213
DGRP_591	5	59	unavailable	FBsn0000139	
DGRP_595	50	450	available	FBsn0000140	28215
DGRP_596	19	88	available	FBsn0000300	55029
DGRP_613	1	4	unavailable		
DGRP_627	27	218	available	FBsn0000301	55030
DGRP_630	26	155	available	FBsn0000302	55031
DGRP_634	25	138	available	FBsn0000303	55032
DGRP_639	58	436	available	FBsn0000141	25199
DGRP_642	41	446	genotyped	FBsn0000142	28216
DGRP_646	41	329	available	FBsn0000143	28217
DGRP_663	1	5	unavailable		
DGRP_672	1	5	unavailable		
DGRP_679	1	4	unavailable		
DGRP_702	1	5	unavailable		
DGRP_703	52	450	available	FBsn0000144	28218
DGRP_705	54	400	available	FBsn0000145	25744
DGRP_707	58	438	available	FBsn0000146	25200
DGRP_712	59	547	available	FBsn0000147	25201
DGRP_713	1	5	unavailable		
DGRP_714	62	507	available	FBsn0000148	25745
DGRP_716	53	435	available	FBsn0000149	28219
DGRP_719	2	16	unavailable		
DGRP_721	55	429	available	FBsn0000150	28220
DGRP_724	1	4	unavailable		
DGRP_727	44	337	genotyped	FBsn0000151	28221
DGRP_730	55	457	available	FBsn0000152	25202
DGRP_732	57	466	available	FBsn0000153	25203
DGRP_734	1	5	unavailable		
DGRP_735	1	5	unavailable		
DGRP_736	1	5	unavailable		
DGRP_737	57	538	available	FBsn0000154	28222
DGRP_738	57	546	available	FBsn0000155	28223
DGRP_739	1	5	unavailable		
DGRP_740	1	5	unavailable		
DGRP_742	1	6	unavailable		
DGRP_744	1	5	unavailable		
DGRP_748	43	340	available	FBsn0000156	28224
DGRP_750	4	94	unavailable	FBsn0000157	
DGRP_751	1	5	unavailable		
DGRP_752	1	5	unavailable		
DGRP_753	1	4	unavailable		
DGRP_754	1	4	unavailable		
DGRP_756	1	4	unavailable		
DGRP_757	44	281	available	FBsn0000158	28226
DGRP_759	1	5	unavailable		
DGRP_761	52	453	available	FBsn0000159	28227
DGRP_762	1	5	unavailable		
DGRP_763	1	5	unavailable		
DGRP_765	59	505	available	FBsn0000160	25204
DGRP_766	1	11	unavailable		
DGRP_767	1	5	unavailable		
DGRP_768	1	4	unavailable		
DGRP_769	1	4	unavailable		
DGRP_770	1	5	unavailable		
DGRP_771	3	89	unavailable	FBsn0000161	
DGRP_773	1	5	unavailable		
DGRP_774	64	560	available	FBsn0000162	25205
DGRP_775	1	5	unavailable		
DGRP_776	51	494	available	FBsn0000163	28229
DGRP_777	1	4	unavailable		
DGRP_779	1	4	unavailable		
DGRP_783	55	552	available	FBsn0000164	28230
DGRP_784	1	3	unavailable		
DGRP_786	60	477	available	FBsn0000165	25206
DGRP_787	51	505	available	FBsn0000166	28231
DGRP_788	1	5	unavailable		
DGRP_790	51	463	available	FBsn0000167	28232
DGRP_791	1	5	unavailable		
DGRP_795	1	4	unavailable		
DGRP_796	57	535	available	FBsn0000168	28233
DGRP_797	1	5	unavailable		
DGRP_799	56	428	available	FBsn0000169	25207
DGRP_801	57	548	available	FBsn0000170	28234
DGRP_802	58	520	available	FBsn0000171	28235
DGRP_803	1	4	unavailable		
DGRP_804	50	417	available	FBsn0000172	28236
DGRP_805	55	552	available	FBsn0000173	28237
DGRP_807	1	5	unavailable		
DGRP_808	60	612	available	FBsn0000174	28238
DGRP_809	1	3	unavailable		
DGRP_810	51	491	available	FBsn0000175	28239
DGRP_812	51	430	available	FBsn0000176	28240
DGRP_813	1	5	unavailable		
DGRP_816	1	4	unavailable		
DGRP_818	50	392	available	FBsn0000177	28241
DGRP_819	43	431	available	FBsn0000178	28242
DGRP_820	56	459	available	FBsn0000179	25208
DGRP_821	43	350	available	FBsn0000180	28243
DGRP_822	58	543	available	FBsn0000181	28244
DGRP_823	1	4	unavailable		
DGRP_828	1	4	unavailable		
DGRP_832	50	413	available	FBsn0000182	28245
DGRP_833	1	5	unavailable		
DGRP_837	51	493	available	FBsn0000183	28246
DGRP_838	1	5	unavailable		
DGRP_839	1	5	unavailable		
DGRP_841	1	5	unavailable		
DGRP_843	43	417	available	FBsn0000184	28247
DGRP_844	1	4	unavailable		
DGRP_845	1	4	unavailable		
DGRP_846	1	5	unavailable		
DGRP_847	1	5	unavailable		
DGRP_848	1	5	unavailable		
DGRP_849	43	419	available	FBsn0000185	28248
DGRP_850	41	406	available	FBsn0000186	28249
DGRP_851	1	5	unavailable		
DGRP_852	60	517	available	FBsn0000187	25209
DGRP_853	43	383	available	FBsn0000188	28250
DGRP_854	2	9	unavailable		
DGRP_855	55	522	available	FBsn0000189	28251
DGRP_856	1	4	unavailable		
DGRP_857	51	445	available	FBsn0000190	28252
DGRP_858	1	4	unavailable		
DGRP_859	51	363	available	FBsn0000191	25210
DGRP_860	1	4	unavailable		
DGRP_861	55	563	available	FBsn0000192	28253
DGRP_863	1	4	unavailable		
DGRP_868	1	5	unavailable		
DGRP_869	1	4	unavailable		
DGRP_872	1	4	unavailable		
DGRP_874	1	4	unavailable		
DGRP_877	1	4	unavailable		
DGRP_878	1	4	unavailable		
DGRP_879	56	456	available	FBsn0000193	28254
DGRP_882	56	488	available	FBsn0000194	28255
DGRP_884	45	406	available	FBsn0000195	28256
DGRP_885	1	4	unavailable		
DGRP_887	40	285	genotyped	FBsn0000196	28279
DGRP_888	1	4	unavailable		
DGRP_890	59	412	available	FBsn0000197	28257
DGRP_891	1	4	unavailable		
DGRP_892	52	390	available	FBsn0000198	28258
DGRP_894	47	359	genotyped	FBsn0000199	28259
DGRP_897	52	440	available	FBsn0000200	28260
DGRP_900	43	368	available	FBsn0000201	28261
DGRP_903	1	4	unavailable		
DGRP_905	1	4	unavailable		
DGRP_907	54	476	available	FBsn0000202	28262
DGRP_908	53	462	available	FBsn0000203	28263
DGRP_911	47	344	available	FBsn0000204	28264
DGRP_912	1	4	unavailable		
DGRP_913	44	397	available	FBsn0000205	28265
DGRP_917	1	5	unavailable		
DGRP_982	1	12	unavailable		
